timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762466256618,550,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-1,text,true,,3261,313,6,6,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,550,0,132
1762466256718,842,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-2,text,true,,3261,313,10,10,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,842,0,117
1762466256821,1115,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-3,text,true,,3261,313,10,10,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,1115,0,118
1762466256916,1102,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-4,text,true,,3261,313,10,10,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,1101,0,114
1762466257117,903,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-6,text,true,,3261,313,10,10,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,903,0,115
1762466257168,862,GETRequestForMapsAPIVariable,200,OK,MapsAPI- Thread Group 1-1,text,true,,3261,313,10,10,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,862,0,0
1762466257561,470,GETRequestForMapsAPIVariable,200,OK,MapsAPI- Thread Group 1-2,text,true,,3261,313,9,9,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,470,0,0
1762466257936,109,GETRequestForMapsAPIVariable,200,OK,MapsAPI- Thread Group 1-3,text,true,,3260,313,8,8,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,109,0,0
1762466258020,113,GETRequestForMapsAPIVariable,200,OK,MapsAPI- Thread Group 1-6,text,true,,3260,313,7,7,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,112,0,0
1762466257416,891,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-9,text,true,,3261,313,6,6,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,891,0,115
1762466257318,990,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-8,text,true,,3261,313,6,6,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,990,0,123
1762466257517,791,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-10,text,true,,3261,313,6,6,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,791,0,115
1762466257015,1295,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-5,text,true,,3262,313,6,6,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,1295,0,117
1762466257217,1099,GETRequestForMapsAPI,200,OK,MapsAPI- Thread Group 1-7,text,true,,3261,313,6,6,https://maps.googleapis.com/maps/api/place/nearbysearch/json?keyword=cruise&location=-33.8670522%2C151.1957362&radius=1500&type=restaurant&key=YOUR_GOOGLE_API_KEY_HERE,1099,0,128
